Tanggal,Jumlah Orang di Test,Orang Positif Harian,Orang Negatif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Negatif,Positivity Rate Spesimen Harian
2/29/2020,40,0,40,0.0%,40,0,40,"0,0%"
3/1/2020,39,0,39,0.0%,39,0,39,"0,0%"
3/2/2020,3,0,3,0.0%,3,0,3,"0,0%"
3/3/2020,15,3,12,20.0%,15,3,12,"20,0%"
3/4/2020,7,0,7,0.0%,7,0,7,"0,0%"
3/5/2020,27,0,27,0.0%,27,3,24,"11,1%"
3/6/2020,5,0,5,0.0%,5,0,5,"0,0%"
3/7/2020,26,0,26,0.0%,26,0,26,"0,0%"
3/8/2020,56,1,55,1.8%,56,0,56,"0,0%"
3/9/2020,73,27,46,37.0%,73,25,48,"34,2%"
3/10/2020,52,2,50,3.8%,52,0,52,"0,0%"
3/11/2020,48,26,22,54.2%,48,3,45,"6,3%"
3/12/2020,56,10,46,17.9%,56,23,33,"41,1%"
3/13/2020,30,7,23,23.3%,30,10,20,"33,3%"
3/14/2020,44,16,28,36.4%,44,3,41,"6,8%"
3/15/2020,41,2,39,4.9%,41,15,26,"36,6%"
3/16/2020,47,25,22,53.2%,47,2,45,"4,3%"
3/17/2020,104,38,66,36.5%,104,26,78,"25,0%"
3/18/2020,132,51,81,38.6%,132,38,94,"28,8%"
3/19/2020,154,13,141,8.4%,154,48,106,"31,2%"
3/20/2020,118,44,74,37.3%,118,12,106,"10,2%"
3/21/2020,501,39,462,7.8%,501,48,453,"9,6%"
3/22/2020,1097,49,1048,4.5%,1097,37,1060,"3,4%"
3/23/2020,378,71,307,18.8%,378,30,348,"7,9%"
3/24/2020,347,45,302,13.0%,347,71,276,"20,5%"
3/25/2020,196,43,153,21.9%,196,46,150,"23,5%"
3/26/2020,248,51,197,20.6%,248,37,211,"14,9%"
3/27/2020,199,37,162,18.6%,200,48,152,"24,0%"
3/28/2020,359,98,261,27.3%,359,35,324,"9,7%"
3/29/2020,127,26,101,20.5%,127,102,25,"80,3%"
3/30/2020,217,14,203,6.5%,217,26,191,"12,0%"
3/31/2020,300,75,225,25.0%,300,31,269,"10,3%"
4/1/2020,164,93,71,56.7%,194,78,116,"40,2%"
4/2/2020,455,81,374,17.8%,615,104,511,"16,9%"
4/3/2020,908,81,827,8.9%,788,132,656,"16,8%"
4/4/2020,1470,80,1390,5.4%,1651,145,1506,"8,8%"
4/5/2020,1218,148,1070,12.2%,1618,208,1410,"12,9%"
4/6/2020,812,144,668,17.7%,1189,138,1051,"11,6%"
4/7/2020,877,109,768,12.4%,1476,158,1318,"10,7%"
4/8/2020,988,167,821,16.9%,1412,134,1278,"9,5%"
4/9/2020,1003,91,912,9.1%,1433,201,1232,"14,0%"
4/10/2020,1304,93,1211,7.1%,1863,162,1701,"8,7%"
4/11/2020,916,179,737,19.5%,1308,160,1148,"12,2%"
4/12/2020,844,160,684,19.0%,1205,173,1032,"14,4%"
4/13/2020,840,107,733,12.7%,1200,133,1067,"11,1%"
4/14/2020,1114,98,1016,8.8%,1592,160,1432,"10,1%"
4/15/2020,981,223,758,22.7%,1401,121,1280,"8,6%"
4/16/2020,888,153,735,17.2%,1269,168,1101,"13,2%"
4/17/2020,1214,79,1135,6.5%,1734,131,1603,"7,6%"
4/18/2020,1123,131,992,11.7%,1604,125,1479,"7,8%"
4/19/2020,1248,79,1169,6.3%,1783,66,1717,"3,7%"
4/20/2020,1606,167,1439,10.4%,2294,185,2109,"8,1%"
4/21/2020,1599,120,1479,7.5%,2284,165,2119,"7,2%"
4/22/2020,1552,107,1445,6.9%,2217,113,2104,"5,1%"
4/23/2020,1714,99,1615,5.8%,2449,127,2322,"5,2%"
4/24/2020,1599,76,1523,4.8%,2284,122,2162,"5,3%"
4/25/2020,1278,65,1213,5.1%,1826,132,1694,"7,2%"
4/26/2020,803,86,717,10.7%,1147,38,1109,"3,3%"
4/27/2020,1434,118,1316,8.2%,2049,53,1996,"2,6%"
4/28/2020,1904,83,1821,4.4%,2720,183,2537,"6,7%"
4/29/2020,2276,105,2171,4.6%,3251,125,3126,"3,8%"
4/30/2020,2339,145,2194,6.2%,3342,159,3183,"4,8%"
5/1/2020,2496,72,2424,2.9%,3566,115,3451,"3,2%"
5/2/2020,2211,62,2149,2.8%,3158,153,3005,"4,8%"
5/3/2020,1127,55,1072,4.9%,1610,113,1497,"7,0%"
5/4/2020,2594,169,2425,6.5%,3702,208,3494,"5,6%"
5/5/2020,2520,68,2452,2.7%,3600,295,3305,"8,2%"
5/6/2020,2985,66,2919,2.2%,4264,211,4053,"4,9%"
5/7/2020,1733,126,1607,7.3%,2475,171,2304,"6,9%"
5/8/2020,2500,57,2443,2.3%,3572,343,3229,"9,6%"
5/9/2020,2629,182,2447,6.9%,3745,378,3367,"10,1%"
5/10/2020,1490,55,1435,3.7%,2128,262,1866,"12,3%"
5/11/2020,2575,108,2467,4.2%,3678,430,3248,"11,7%"
5/12/2020,3119,134,2985,4.3%,4456,371,4085,"8,3%"
5/13/2020,2601,180,2421,6.9%,3716,272,3444,"7,3%"
5/14/2020,2500,62,2438,2.5%,3572,219,3353,"6,1%"
5/15/2020,2433,116,2317,4.8%,3476,330,3146,"9,5%"
5/16/2020,2006,127,1879,6.3%,2866,245,2621,"8,5%"
5/17/2020,1673,88,1585,5.3%,2390,185,2205,"7,7%"
5/18/2020,2194,43,2151,2.0%,3134,217,2917,"6,9%"
5/19/2020,2530,97,2433,3.8%,3604,231,3373,"6,4%"
5/20/2020,2457,72,2385,2.9%,3510,267,3243,"7,6%"
5/21/2020,1907,97,1810,5.1%,2724,220,2504,"8,1%"
5/22/2020,3214,127,3087,4.0%,4592,399,4193,"8,7%"
5/23/2020,1764,118,1646,6.7%,2520,243,2277,"9,6%"
5/24/2020,871,67,804,7.7%,1244,99,1145,"8,0%"
5/25/2020,1321,93,1228,7.0%,1887,190,1697,"10,1%"
5/26/2020,1972,105,1867,5.3%,2817,311,2506,"11,0%"
5/27/2020,2271,103,2168,4.5%,3245,327,2918,"10,1%"
5/28/2020,2768,124,2644,4.5%,3954,323,3631,"8,2%"
5/29/2020,2392,100,2292,4.2%,3425,334,3091,"9,8%"
5/30/2020,2808,119,2689,4.2%,4027,369,3658,"9,2%"
5/31/2020,1858,111,1747,6.0%,2654,261,2393,"9,8%"
6/1/2020,1789,73,1716,4.1%,2555,258,2297,"10,1%"
6/2/2020,2371,101,2270,4.3%,3391,199,3192,"5,9%"
6/3/2020,3422,62,3360,1.8%,4900,301,4599,"6,1%"
6/4/2020,2738,83,2655,3.0%,3918,296,3622,"7,6%"
6/5/2020,2864,102,2762,3.6%,4103,341,3762,"8,3%"
6/6/2020,3334,160,3174,4.8%,4766,402,4364,"8,4%"
6/7/2020,1808,96,1712,5.3%,2589,164,2425,"6,3%"
6/8/2020,2798,194,2604,6.9%,4015,325,3690,"8,1%"
6/9/2020,3590,187,3403,5.2%,5159,388,4771,"7,5%"
6/10/2020,4064,129,3935,3.2%,5840,395,5445,"6,8%"
6/11/2020,2827,76,2751,2.7%,4076,327,3749,"8,0%"
6/12/2020,3411,120,3291,3.5%,4897,452,4445,"9,2%"
6/13/2020,4955,115,4840,2.3%,7095,474,6621,"6,7%"
6/14/2020,1851,105,1746,5.7%,3084,196,2888,"6,4%"
6/15/2020,4605,94,4511,2.0%,6692,366,6326,"5,5%"
6/16/2020,4702,147,4555,3.1%,6758,593,6165,"8,8%"
6/17/2020,4740,176,4564,3.7%,6899,581,6318,"8,4%"
6/18/2020,4260,140,4120,3.3%,6280,451,5829,"7,2%"
