Tanggal,Meninggal (Indonesia),Sembuh (Indonesia),Dirawat (Indonesia),Positif (Indonesia),Meninggal (Jakarta),Sembuh (Jakarta),Self-Isolation (Jakarta),Dirawat (Jakarta),Positif (Jakarta),Positif Aktif (Jakarta),Meninggal Harian (Indonesia),Sembuh Harian (Indonesia),Dirawat Harian (Indonesia),Positif Harian (Indonesia),Meninggal Harian (Jakarta),Sembuh Harian (Jakarta),Self-Isolation Harian (Jakarta),Dirawat Harian (Jakarta),Positif Harian (Jakarta),Positif Aktif Harian (Jakarta)
03/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
03/03/2020,0,0,2,2,1,0,0,2,3,2,0,0,0,0,1,0,0,2,3,2
03/04/2020,0,0,2,2,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0
03/05/2020,0,0,2,2,3,0,0,4,7,4,0,0,0,0,2,0,0,2,4,2
03/06/2020,0,0,4,4,3,0,0,4,7,4,0,0,2,2,0,0,0,0,0,0
03/07/2020,0,0,4,4,3,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0
03/08/2020,0,0,6,6,3,0,0,4,7,4,0,0,2,2,0,0,0,0,0,0
03/09/2020,0,0,19,19,3,0,0,31,34,31,0,0,13,13,0,0,0,27,27,27
03/10/2020,0,2,25,27,3,0,0,31,34,31,0,2,6,8,0,0,0,0,0,0
03/11/2020,1,2,31,34,3,0,0,33,36,33,1,0,6,7,0,0,0,2,2,2
03/12/2020,1,2,31,34,5,0,0,57,62,57,0,0,0,0,2,0,0,24,26,24
03/13/2020,4,2,63,69,7,0,0,65,72,65,3,0,32,35,2,0,0,8,10,8
03/14/2020,5,8,83,96,9,0,0,70,79,70,1,6,20,27,2,0,0,5,7,5
03/15/2020,5,8,104,117,11,0,0,84,95,84,0,0,21,21,2,0,0,14,16,14
03/16/2020,5,8,121,134,12,0,7,78,97,85,0,0,17,17,1,0,7,-6,2,1
03/17/2020,5,9,158,172,12,0,27,83,122,110,0,1,37,38,0,0,20,5,25,25
03/18/2020,19,11,197,227,15,12,42,91,160,133,14,2,39,55,3,12,15,8,38,23
03/19/2020,25,15,269,309,19,13,57,121,210,178,6,4,72,82,4,1,15,30,50,45
03/20/2020,32,17,320,369,20,13,66,125,224,191,7,2,51,60,1,0,9,4,14,13
03/21/2020,38,20,392,450,23,17,71,157,268,228,6,3,72,81,5,4,5,32,44,37
03/22/2020,48,29,437,514,29,21,77,177,304,254,10,9,45,64,4,4,6,20,36,26
03/23/2020,49,30,500,579,29,22,79,225,355,304,1,1,63,65,2,1,2,48,52,50
03/24/2020,55,30,601,686,34,23,109,260,426,369,6,0,101,107,3,1,30,35,70,65
03/25/2020,58,31,701,790,43,27,112,290,472,402,3,1,100,104,9,4,3,30,46,33
03/26/2020,78,35,780,893,49,29,113,324,515,437,20,4,79,103,6,2,1,34,43,35
03/27/2020,87,46,913,1046,57,31,132,346,566,478,9,11,133,153,8,2,19,22,51,41
03/28/2020,102,59,994,1155,62,43,134,364,603,498,15,13,81,109,5,12,2,18,37,20
03/29/2020,114,64,1107,1285,67,48,151,435,701,586,12,5,113,130,5,5,17,71,98,88
03/30/2020,122,75,1217,1414,78,49,151,449,727,600,8,11,110,129,11,1,0,14,26,14
03/31/2020,136,81,1311,1528,84,49,157,451,741,608,14,6,94,114,6,0,6,2,14,8
04/01/2020,157,103,1417,1677,90,51,176,499,816,675,21,22,106,149,6,2,19,48,75,67
04/02/2020,170,112,1508,1790,95,54,195,565,909,760,13,9,91,113,5,3,19,66,93,85
04/03/2020,181,134,1671,1986,98,56,209,627,990,836,11,22,163,196,3,2,14,62,81,76
04/04/2020,191,150,1751,2092,99,58,223,691,1071,914,10,16,80,106,1,2,14,64,81,78
04/05/2020,198,164,1911,2273,123,64,279,685,1151,964,7,14,160,181,24,6,56,-6,80,50
04/06/2020,209,192,2090,2491,131,68,317,783,1299,1100,11,28,179,218,8,4,38,98,148,136
04/07/2020,221,204,2313,2738,141,69,338,895,1443,1233,12,12,223,247,10,1,21,112,144,133
04/08/2020,240,222,2494,2956,144,75,357,976,1552,1333,19,18,181,218,3,6,19,81,109,100
04/09/2020,280,252,2761,3293,155,82,405,1077,1719,1482,40,30,267,337,11,7,48,101,167,149
04/10/2020,306,282,2924,3512,156,82,433,1139,1810,1572,26,30,163,219,1,0,28,62,91,90
04/11/2020,327,286,3229,3842,168,142,441,1152,1903,1593,21,4,305,330,12,60,8,13,93,21
04/12/2020,373,359,3509,4241,195,142,468,1277,2082,1745,46,73,280,399,27,0,27,125,179,152
04/13/2020,399,380,3778,4557,209,142,521,1370,2242,1891,26,21,269,316,14,0,53,93,160,146
04/14/2020,459,426,3954,4839,243,163,558,1385,2349,1943,60,46,176,282,34,21,37,15,107,52
04/15/2020,469,446,4221,5136,246,164,613,1424,2447,2037,10,20,267,297,3,1,55,39,98,94
04/16/2020,496,548,4472,5516,248,202,619,1601,2670,2220,27,102,251,380,2,38,6,177,223,183
04/17/2020,520,607,4796,5923,250,203,643,1727,2823,2370,24,59,324,407,2,1,24,126,153,150
04/18/2020,535,631,5082,6248,257,206,670,1769,2902,2439,15,24,286,325,7,3,27,42,79,69
04/19/2020,582,686,5307,6575,292,207,695,1839,3033,2534,47,55,225,327,35,1,25,70,131,95
04/20/2020,590,747,5423,6760,297,237,752,1826,3112,2578,8,61,116,185,5,30,57,-13,79,44
